"en","vernacularName","vernacularAlternate","key","internalName","showKeyboard","useKeyboard","notes","Spanish","write-in","es","✓","Portuguese","write-in","pt","✓","French","write-in","fr","✓","Hebrew","write-in","he","✓","Arabic","write-in","ar","✓","Hindi","write-in","hi","✓","Bengali","write-in","bn","✓","Oriya","write-in","or","✓","as","✓","Indonesian","write-in","id","✓","Russian","write-in","ru","✓","Mandarin Chinese (simplified)","write-in","zh","✓","Hausa","write-in","ha","✓","Swahili","write-in","sw","✓","Amharic","write-in","am","✓","Thai","write-in","th","✓","Malay","write-in","ms","✓","Filipino","write-in","fil","✓","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Hindi","हिन्दी","Hindī","hi","Keyboard_dev_inscript","true","","","hindi","hindi","hindi","TRUE","hindi","Hindi","Hindi","TRUE","hindi","Hindi","Hindi","TRUE","הינדי","","הינדי","TRUE","الهندية","الهندية","الهندية","FALSE","हिन्दी","","हिन्दी","FALSE","হিন্দি","হিন্দি","হিন্দি","TRUE","ହିନ୍ଦୀ","","ହିନ୍ଦୀ","FALSE","","FALSE","Hindi","Bahasa Hindi","Bahasa Hindi","TRUE","хинди","","хинди","TRUE","印地语","","印地语","FALSE","Hindi","","Hindi","FALSE","hindi","Kihindi","Kihindi","TRUE","ሂንዲ","","ሂንዲ","FALSE","ภาษาฮินดี","","ภาษาฮินดี","FALSE","Hindi.","Bahasa Hindi","Bahasa Hindi","TRUE","Hindi","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Hiri Motu","Hiri Motu","","ho","","","","","Hiri motu","","Hiri motu","FALSE","hiri Motu","Hiri Motu","Hiri Motu","TRUE","Hiri motu","","Hiri motu","FALSE","ירי מוטו","","ירי מוטו","FALSE","هيري موتو","","هيري موتو","FALSE","हिरी मोटू","","हिरी मोटू","FALSE","হিরি মোতু","হিরি মোটু","হিরি মোটু","TRUE","Hiri Motu","","Hiri Motu","FALSE","","FALSE","Hiri Motu","Bahasa Hiri Motu","Bahasa Hiri Motu","TRUE","Hiri Моту","хиримоту","хиримоту","TRUE","希里摩图语","","希里摩图语","FALSE","Hiri Motu","","Hiri Motu","FALSE","Kihiri Motu","Hiri Motu","Hiri Motu","TRUE","ሂሪ","","ሂሪ","FALSE","Hiri Motu","","Hiri Motu","FALSE","Hiri motu.","Bahasa Hiri Motu","Bahasa Hiri Motu","TRUE","HIRI MOTU.","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Huli","Huli-Hulidana","Huri","hui","","","","","huli","","huli","FALSE","Huli","Huli","Huli","TRUE","Huli","","Huli","FALSE","חולים","","חולים","FALSE","حولي","","حولي","FALSE","हुली","","हुली","FALSE","Huli","হুলি","হুলি","TRUE","Huli","","Huli","FALSE","","FALSE","Huli","Bahasa Huli","Bahasa Huli","TRUE","Хули","хули","хули","TRUE","湖里","","湖里","FALSE","Huli","","Huli","FALSE","Huli","Huli","Huli","TRUE","Huli","","Huli","FALSE","ฮีลี่","","ฮีลี่","FALSE","Huli.","Bahasa Huli","Bahasa Huli","TRUE","Huli.","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Hungarian","Magyar","","hun","","","","","húngaro","","húngaro","FALSE","húngaro","Húngaro","Húngaro","TRUE","hongrois","","hongrois","FALSE","הוּנגָרִי","","הוּנגָרִי","FALSE","الهنغارية","","الهنغارية","FALSE","हंगेरी","","हंगेरी","FALSE","হাঙ্গেরীয়","হাঙ্গেরীয়","হাঙ্গেরীয়","TRUE","ହଙ୍ଗେରିଆନ୍","","ହଙ୍ଗେରିଆନ୍","FALSE","","FALSE","Hongaria","Bahasa Hongaria","Bahasa Hongaria","TRUE","Венгерский","венгерский","венгерский","TRUE","匈牙利","","匈牙利","FALSE","Hungarian","","Hungarian","FALSE","hungarian","Kihungari","Kihungari","TRUE","ሃንጋሪያን","","ሃንጋሪያን","FALSE","ชาวฮังการี","","ชาวฮังการี","FALSE","Hungary.","Bahasa Hungary","Bahasa Hungary","TRUE","Hungarian","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Iban","jaku Iban","","iba","","","","","Iban","","Iban","FALSE","Iban","Iban","Iban","TRUE","iban","","iban","FALSE","איבאן","","איבאן","FALSE","ايبان","","ايبان","FALSE","इबान","","इबान","FALSE","ইবান","ইবান","ইবান","TRUE","IBAN","","IBAN","FALSE","","FALSE","Iban","Bahasa Iban","Bahasa Iban","TRUE","Iban","ибанский","ибанский","TRUE","伊班","","伊班","FALSE","Iban","","Iban","FALSE","Iban","Iban","Iban","TRUE","IBAN","","IBAN","FALSE","ฉัน","","ฉัน","FALSE","Iban","Bahasa Iban","Bahasa Iban","TRUE","Iban","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ibanag","","","ibg","","","","","ibanag","","ibanag","FALSE","Ibanag","Ibanag","Ibanag","TRUE","Ibanag","","Ibanag","FALSE","Ibanag","","Ibanag","FALSE","Ibanag","","Ibanag","FALSE","Ibanag","","Ibanag","FALSE","Ibanag,","ইবানাগ ","ইবানাগ ","TRUE","Ibanag","","Ibanag","FALSE","","FALSE","Ibanag","Bahasa Ibanag","Bahasa Ibanag","TRUE","Ibanag","ибанагский","ибанагский","TRUE","Ibanag","","Ibanag","FALSE","Ibanag","","Ibanag","FALSE","Ibanag","Ibanag","Ibanag","TRUE","Ibanag","","Ibanag","FALSE","ยกตัวอย่าง","","ยกตัวอย่าง","FALSE","Ibanag.","Bahasa Ibanag","Bahasa Ibanag","TRUE","Ibanag","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ibibio","","","ibb","","","","","ibibio","","ibibio","FALSE","Ibibio","Ibibio","Ibibio","TRUE","Ibibio","","Ibibio","FALSE","איביביו","","איביביו","FALSE","الإيبيبيوية","","الإيبيبيوية","FALSE","ईबिबियो","","ईबिबियो","FALSE","ইবিবিও","আইবিবিও","আইবিবিও","TRUE","ଲବିବିଓ","","ଲବିବିଓ","FALSE","","FALSE","Ibibio","Bahasa Ibilio","Bahasa Ibilio","TRUE","Ibibio","ибибио","ибибио","TRUE","伊比比欧","","伊比比欧","FALSE","Ibibio","","Ibibio","FALSE","Ibibio","Ibibio","Ibibio","TRUE","Ibibio","","Ibibio","FALSE","ibibio","","ibibio","FALSE","Ibibio.","Bahasa Ibibio","Bahasa Ibibio","TRUE","Ibibio","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Icelandic","Íslenskt tungumál","","is","","","","","islandés","","islandés","FALSE","islandês","Islandês","Islandês","TRUE","islandais","","islandais","FALSE","איסלנדי","","איסלנדי","FALSE","أيسلندي","","أيسلندي","FALSE","आइसलैंड का","","आइसलैंड का","FALSE","আইসল্যান্ডীয়","আইসল্যান্ডিক","আইসল্যান্ডিক","TRUE","Icelandic","","Icelandic","FALSE","","FALSE","bahasa Islandia","Bahasa Islandia","Bahasa Islandia","TRUE","исландский","","исландский","TRUE","冰岛的","","冰岛的","FALSE","Icelandic","","Icelandic","FALSE","Kiaislandi","Kiaislandi","Kiaislandi","TRUE","አይስላንዲ ክ","","አይስላንዲ ክ","FALSE","เกี่ยวกับไอซ์แลนด์","","เกี่ยวกับไอซ์แลนด์","FALSE","Icelandic.","Bahasa Iceland","Bahasa Iceland","TRUE","Icelandic.","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Igbo","Asụsụ Igbo","","ig","Keyboard_naijanfd10","true","","","Igbo","igbo","igbo","TRUE","Igbo","Igbo","Igbo","TRUE","Igbo","Igbo","Igbo","TRUE","אגדתי","איגבו","איגבו","TRUE","الإيبو","الإغبو","الإغبو","FALSE","ईग्बो","","ईग्बो","FALSE","ইগ্বো","ইগবো","ইগবো","TRUE","Igbo","","Igbo","FALSE","","FALSE","Igbo","Bahasa Igbo","Bahasa Igbo","TRUE","Игбо","игбо","игбо","TRUE","伊博","","伊博","FALSE","Igbo","","Igbo","FALSE","Igbo","Kiigbo","Kiigbo","TRUE","ኢግቦኛ","ኢግቦኛ","ኢግቦኛ","TRUE","ไอสว่าน","","ไอสว่าน","FALSE","Igbo.","Bahasa Igbo","Bahasa Igbo","TRUE","Igbo.","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ilokano","Iloko ","Pagsasao nga Ilokano","ilo","","","","","Ilokano","","Ilokano","FALSE","ilokano","Ilocano","Ilocano","TRUE","ilokano","","ilokano","FALSE","Ilokano","","Ilokano","FALSE","Ilokano","","Ilokano","FALSE","Ilokano","","Ilokano","FALSE","Ilokano","ইলোকানো","ইলোকানো","TRUE","Ilokano","","Ilokano","FALSE","","FALSE","Ilokano","Bahasa Ilokano","Bahasa Ilokano","TRUE","Ilokano","илоканский","илоканский","TRUE","Ilokano","","Ilokano","FALSE","Ilokano","","Ilokano","FALSE","Ilokano","Ilokano","Ilokano","TRUE","Ilokano","","Ilokano","FALSE","ilokano","","ilokano","FALSE","Ilokano.","Bahasa Ilokano","Bahasa Ilokano","TRUE","Ilokano.","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Indonesian","Bahasa Indonesia","","id","Keyboard_basic_kbdus","","","","indonesio","indonesio","indonesio","TRUE","indonésio","Indonésio","Indonésio","TRUE","indonésien","Indonésien","Indonésien","TRUE","אינדונזי","אינדונזית","אינדונזית","TRUE","الأندونيسية","الإندونيسية","الإندونيسية","FALSE","इन्डोनेशियाई","","इन्डोनेशियाई","FALSE","ইন্দোনেশিয়াসম্বন্ধীয়","ইন্দোনেশীয়","ইন্দোনেশীয়","TRUE","ଇଣ୍ଡୋନେସିଆନ୍","","ଇଣ୍ଡୋନେସିଆନ୍","FALSE","","FALSE","bahasa Indonesia","Bahasa Indonesia","Bahasa Indonesia","TRUE","индонезийский","","индонезийский","TRUE","印度尼西亚","","印度尼西亚","FALSE","Indonesian","","Indonesian","FALSE","Indonesia","Kiindonesia","Kiindonesia","TRUE","ኢንዶኔዥያን","","ኢንዶኔዥያን","FALSE","ชาวอินโดนีเซีย","","ชาวอินโดนีเซีย","FALSE","Bahasa Indonesia.","Bahasa Indonesia","Bahasa Indonesia","TRUE","Indonesian","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Irish","Gaeilge","","gle","","","","","irlandesa","","irlandesa","FALSE","irlandês","Irlandês","Irlandês","TRUE","irlandais","","irlandais","FALSE","אִירִית","","אִירִית","FALSE","الأيرلندية","","الأيرلندية","FALSE","आयरिश","","आयरिश","FALSE","আইরিশ","আইরিশ","আইরিশ","TRUE","ଇରିସ୍","","ଇରିସ୍","FALSE","","FALSE","orang Irlandia","Bahasa Irlandia","Bahasa Irlandia","TRUE","ирландский","","ирландский","TRUE","爱尔兰的","","爱尔兰的","FALSE","Irish","","Irish","FALSE","irish","Kiayalandi","Kiayalandi","TRUE","አይሪሽ","","አይሪሽ","FALSE","ชาวไอริช","","ชาวไอริช","FALSE","Ireland","Bahasa Ireland","Bahasa Ireland","TRUE","Irish","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Italian","Italiano","","it","","","","","italiano","","italiano","FALSE","italiano","Italiano","Italiano","TRUE","italien","","italien","FALSE","אִיטַלְקִית","","אִיטַלְקִית","FALSE","الإيطالي","","الإيطالي","FALSE","इतालवी","","इतालवी","FALSE","ইতালীয়","ইতালিয়ান","ইতালিয়ান","TRUE","ଇଟାଲୀୟ","","ଇଟାଲୀୟ","FALSE","","FALSE","Italia","Bahasa Italia","Bahasa Italia","TRUE","итальянский","","итальянский","TRUE","意大利","","意大利","FALSE","Italian","","Italian","FALSE","Italia","Kiitaliano","Kiitaliano","TRUE","ጣሊያንኛ","ጣሊያንኛ","ጣሊያንኛ","TRUE","ภาษาอิตาลี","","ภาษาอิตาลี","FALSE","Bahasa Itali","Bahasa Itali","Bahasa Itali","TRUE","Italian.","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
